Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,908.380005,914.460022,902.700012,907.500000,907.500000,2708700000
2015-01-05,905.570007,905.570007,889.820007,891.039978,891.039978,3799120000
2015-01-06,891.890015,895.669983,879.340027,883.960022,883.960022,4460110000
2015-01-07,885.099976,895.619995,885.099976,893.599976,893.599976,3805480000
2015-01-08,895.739990,911.070007,895.739990,909.869995,909.869995,3934010000
2015-01-09,910.690002,911.090027,899.400024,902.130005,902.130005,3364140000
2015-01-12,902.909973,904.929993,892.469971,895.239990,895.239990,3456460000
2015-01-13,896.669983,907.979980,886.359985,892.929993,892.929993,4107300000
2015-01-14,890.979980,890.979980,877.440002,887.359985,887.359985,4378680000
2015-01-15,888.330017,891.789978,877.690002,878.330017,878.330017,4276720000
2015-01-16,878.219971,890.280029,876.599976,889.799988,889.799988,4056410000
2015-01-20,890.330017,894.179993,883.229980,891.609985,891.609985,3944340000
2015-01-21,890.590027,897.580017,886.049988,894.500000,894.500000,3730070000
2015-01-22,895.650024,909.369995,891.880005,908.880005,908.880005,4176050000
2015-01-23,908.890015,908.969971,902.549988,903.140015,903.140015,3573560000
2015-01-26,902.630005,905.039978,898.419983,904.510010,904.510010,3465760000
2015-01-27,899.280029,899.280029,885.460022,888.989990,888.989990,3329810000
2015-01-28,890.020020,895.950012,877.440002,877.460022,877.460022,4067530000
2015-01-29,877.650024,888.020020,872.039978,886.359985,886.359985,4127140000
2015-01-30,886.179993,888.469971,875.090027,875.799988,875.799988,4568650000
2015-02-02,876.469971,888.510010,870.419983,888.309998,888.309998,4008330000
2015-02-03,888.760010,901.020020,888.760010,900.919983,900.919983,4615900000
2015-02-04,900.640015,903.179993,894.929993,897.119995,897.119995,4141920000
2015-02-05,897.630005,906.450012,897.630005,906.020020,906.020020,3821990000
2015-02-06,905.950012,911.289978,901.619995,904.059998,904.059998,4232970000
2015-02-09,903.280029,904.979980,898.520020,900.710022,900.710022,3549540000
2015-02-10,901.820007,910.729980,901.700012,909.729980,909.729980,3669850000
2015-02-11,909.789978,913.049988,905.989990,910.979980,910.979980,3596860000
2015-02-12,911.200012,919.690002,911.200012,919.690002,919.690002,3788350000
2015-02-13,919.820007,923.450012,919.049988,923.429993,923.429993,3527450000
2015-02-17,923.200012,925.109985,920.039978,924.979980,924.979980,3361750000
2015-02-18,924.570007,924.570007,920.580017,923.169983,923.169983,3370020000
2015-02-19,922.729980,923.409973,918.450012,921.340027,921.340027,3247100000
2015-02-20,921.500000,926.849976,915.679993,926.630005,926.630005,3281600000
2015-02-23,926.489990,926.659973,923.099976,926.530029,926.530029,3093680000
2015-02-24,926.260010,931.390015,925.570007,930.210022,930.210022,3199840000
2015-02-25,930.200012,931.880005,927.479980,929.429993,929.429993,3312340000
2015-02-26,929.270020,929.599976,925.429993,928.739990,928.739990,3408690000
2015-02-27,928.739990,929.390015,925.179993,925.469971,925.469971,3547380000
2015-03-02,925.950012,931.750000,925.590027,931.750000,931.750000,3409490000
2015-03-03,931.200012,931.200012,923.469971,927.679993,927.679993,3262300000
2015-03-04,923.770020,925.359985,922.469971,924.140015,924.140015,3421110000
2015-03-05,924.140015,926.159973,921.770020,924.219971,924.219971,3103030000
2015-03-06,924.159973,924.159973,910.109985,912.000000,912.000000,3853570000
2015-03-09,912.580017,918.229980,912.299988,915.869995,915.869995,3349090000
2015-03-10,914.650024,914.650024,899.270020,899.270020,899.270020,3668900000
2015-03-11,899.390015,901.859985,896.190002,896.429993,896.429993,3406570000
2015-03-12,896.340027,907.169983,896.299988,907.000000,907.000000,3405860000
2015-03-13,906.400024,906.469971,896.010010,901.489990,901.489990,3498560000
2015-03-16,902.179993,913.039978,902.179993,912.950012,912.950012,3295600000
2015-03-17,913.140015,913.140015,905.770020,909.580017,909.580017,3221840000
2015-03-18,909.070007,923.130005,903.119995,919.940002,919.940002,4128210000
2015-03-19,919.599976,919.729980,913.830017,914.820007,914.820007,3305220000
2015-03-20,915.250000,926.039978,915.250000,922.489990,922.489990,5554120000
2015-03-23,922.479980,925.659973,921.359985,921.369995,921.369995,3267960000
2015-03-24,921.169983,923.359985,915.729980,915.729980,915.729980,3189820000
2015-03-25,915.640015,917.780029,901.510010,901.510010,901.510010,3521140000
2015-03-26,901.299988,904.320007,894.580017,899.429993,899.429993,3510670000
2015-03-27,899.299988,901.799988,897.219971,900.190002,900.190002,3008550000
2015-03-30,901.510010,912.479980,901.510010,911.150024,911.150024,2917690000
2015-03-31,910.390015,910.390015,901.859985,901.989990,901.989990,3376550000
2015-04-01,902.109985,902.109985,893.229980,898.169983,898.169983,3543270000
