Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,81.699997,82.290001,81.339996,82.220001,58.097218,5570500
2015-01-05,82.000000,82.879997,81.750000,82.669998,58.415203,6073700
2015-01-06,82.750000,83.750000,82.750000,83.489998,58.994610,7577100
2015-01-07,83.809998,84.889999,83.370003,84.769997,59.899052,6920700
2015-01-08,85.349998,85.360001,84.410004,85.089996,60.125195,5255000
2015-01-09,85.089996,85.519997,84.559998,85.129997,60.153450,4643900
2015-01-12,85.339996,85.870003,85.180000,85.779999,60.612736,5131800
2015-01-13,86.080002,86.330002,85.199997,85.650002,60.520885,5859600
2015-01-14,85.599998,86.430000,85.150002,86.389999,61.043766,6249100
2015-01-15,86.570000,86.809998,86.040001,86.589996,61.185081,5004100
2015-01-16,86.589996,87.449997,86.279999,87.339996,61.715046,4717000
2015-01-20,87.730003,87.849998,86.449997,86.650002,61.227497,5012700
2015-01-21,86.690002,86.690002,86.180000,86.589996,61.185081,4354500
2015-01-22,86.930000,88.220001,86.709999,88.129997,62.273262,4450600
2015-01-23,88.110001,88.349998,87.680000,87.879997,62.096611,3491800
2015-01-26,88.000000,88.690002,87.639999,88.620003,62.619511,2885100
2015-01-27,88.400002,89.000000,88.300003,88.650002,62.640697,3209400
2015-01-28,88.830002,89.269997,88.059998,88.059998,62.223804,3948900
2015-01-29,88.459999,88.459999,87.459999,88.370003,62.442871,3337500
2015-01-30,88.209999,88.250000,86.540001,86.550003,61.156834,4969800
2015-02-02,86.529999,86.690002,84.690002,86.320000,60.994320,7523600
2015-02-03,86.330002,87.099998,85.660004,87.070000,61.524265,4617400
2015-02-04,86.870003,87.089996,86.209999,86.709999,61.269890,3332800
2015-02-05,86.919998,87.790001,86.669998,87.750000,62.004784,2921600
2015-02-06,87.540001,87.660004,84.830002,85.199997,60.202896,6323300
2015-02-09,85.120003,85.610001,84.580002,84.599998,59.778912,4235700
2015-02-10,84.750000,85.059998,83.849998,84.870003,59.969719,6144500
2015-02-11,85.040001,85.320000,84.040001,84.620003,59.793079,4027100
2015-02-12,84.820000,85.720001,84.519997,85.629997,60.506748,4523100
2015-02-13,85.900002,85.940002,84.559998,85.059998,60.103996,3444500
2015-02-17,85.000000,85.860001,84.650002,84.849998,59.955574,6414800
2015-02-18,84.839996,85.750000,84.220001,85.639999,60.513802,5487900
2015-02-19,85.690002,85.690002,83.610001,83.800003,59.213657,5415600
2015-02-20,83.820000,84.739998,83.690002,84.610001,59.786011,4982700
2015-02-23,84.620003,85.330002,84.550003,85.290001,60.266514,3883800
2015-02-24,85.150002,85.150002,83.250000,83.610001,59.079399,6027700
2015-02-25,83.699997,84.529999,83.529999,83.629997,59.093525,6699700
2015-02-26,83.620003,83.660004,82.529999,82.720001,58.450520,4738700
2015-02-27,82.980003,83.580002,82.430000,83.370003,58.909832,4328200
2015-03-02,83.580002,84.769997,83.459999,83.849998,59.248978,5353500
2015-03-03,83.739998,83.930000,82.970001,83.690002,59.135929,4311400
2015-03-04,83.690002,83.800003,82.699997,82.889999,58.570641,3054200
2015-03-05,83.099998,83.949997,83.050003,83.129997,58.740231,3503900
2015-03-06,82.059998,82.089996,80.220001,80.370003,56.790009,7166500
2015-03-09,80.650002,81.190002,80.650002,81.010002,57.242226,6548000
2015-03-10,80.769997,81.330002,80.650002,80.949997,57.199829,5985700
